sum_cleanup_funding,Cleanup Completion Date,avg_acres_cleaned,avg_acres_grn_created,ACRES Property ID,2010 # Below Poverty,2010 # Low Income,2010 # Unemployed,2010 # Vacant Housing,2010 % Below Poverty,2010 % Low Income,2010 % Unemployed,2010 % Vacant Housing,2010 Median Income,Cntmnt Clnd Up-Arsenic,Cntmnt Clnd Up-Asbestos,Cntmnt Clnd Up-Cadmium,Cntmnt Clnd Up-Chromium,Cntmnt Clnd Up-Copper,Cntmnt Clnd Up-Ctrl Sbstncs,Cntmnt Clnd Up-Iron,Cntmnt Clnd Up-Lead,Cntmnt Clnd Up-Mercury,Cntmnt Clnd Up-Nickel,Cntmnt Clnd Up-None,Cntmnt Clnd Up-Other,Cntmnt Clnd Up-Other (Descr),Cntmnt Clnd Up-Other Metals,Cntmnt Clnd Up-PAHs,Cntmnt Clnd Up-PCBs,Cntmnt Clnd Up-Pesticides,Cntmnt Clnd Up-Petroleum,Cntmnt Clnd Up-SVOCs,Cntmnt Clnd Up-Selenium,Cntmnt Clnd Up-Unknown,Cntmnt Clnd Up-VOCs,Cntmnt Fnd-Arsenic,Cntmnt Fnd-Asbestos,Cntmnt Fnd-Cadmium,Cntmnt Fnd-Chromium,Cntmnt Fnd-Copper,Cntmnt Fnd-Ctrl Sbstncs,Cntmnt Fnd-Iron,Cntmnt Fnd-Lead,Cntmnt Fnd-Mercury,Cntmnt Fnd-Nickel,Cntmnt Fnd-None,Cntmnt Fnd-Other,Cntmnt Fnd-Other Metals,Cntmnt Fnd-PAHs,Cntmnt Fnd-PCBs,Cntmnt Fnd-Pesticides,Cntmnt Fnd-Petroleum,Cntmnt Fnd-SVOCs,Cntmnt Fnd-Selenium,Cntmnt Fnd-Unknown,Cntmnt Fnd-VOCs,Did Ownership Change,EPA Region,IC Catgry-Enfrcmnt/Prmt Tools,IC Catgry-Govmntal Ctrls,IC Catgry-Informational Dev,IC Catgry-Proprietary Ctrls,ICs in Place?,Institutional Ctrl (ICs) Req?,Media Affected-Air,Media Affected-Bldg Materials,Media Affected-Drnking Water,Media Affected-Ground Water,Media Affected-Indoor Air,Media Affected-Sediments,Media Affected-Soil,Media Affected-Surface Water,Media Affected-Unknown,Media Clnd Up-Air,Media Clnd Up-Bldg Materials,Media Clnd Up-Drnking Water,Media Clnd Up-Ground Water,Media Clnd Up-Indoor Air,Media Clnd Up-Sediments,Media Clnd Up-Soil,Media Clnd Up-Surface Water,Media Clnd Up-Unknown,Other Media Ind,Ownership Entity,Past Use: Commercial (arces),Past Use: Greenspace (arces),Past Use: Industrial (arces),Past Use: Multistory (arces),Past Use: Residential (arces),Photographs are available,Property Size,Radius,Ready For Reuse Ind,SFLLP fact into the ownership
760000,12/31/2009,11,,162305,54,183,48,23,6.61,22.4,5.88,6.47,3223,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,6,,,Y,,Y,Y,,,,Y,,,Y,,,,,,Y,,,Y,,,,Private,,,11,,,Y,11,0.5,Y,
34500,07/31/2015,1.02,,162961,544,1007,168,378,31.1,57.58,9.61,32.41,7727,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,Y,,,,,,,,,,Y,5,,,,,,N,,Y,,,,,Y,,,,Y,,,,,,,,,Government,,,1.02,,,Y,1.02,0.5,Y,N
10000,12/16/2013,0.25,,163386,316,604,117,103,22.16,42.36,8.2,17.27,3465,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,5,,,,,,N,,Y,,,,,,,,,Y,,,,,,,,,Government,0.25,,,,,Y,0.25,0.5,Y,Y
115000,12/13/2013,0.27,,163902,484,679,126,49,52.1,73.09,13.56,9.3,1360,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,5,,,,,,N,,Y,,,,,,,,,Y,,,,,,,,,Private,0.27,,,,,Y,0.27,0.5,Y,
15750,07/10/2013,0.25,,164362,418,1160,181,13,15.46,42.92,6.7,1.11,10037,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,N,8,,,,,N,N,,Y,,,,,,,,,Y,,,,,,,,,Private,,,,,0.25,Y,0.25,0.5,Y,
240000,05/14/2014,11.7,,164462,1098,1675,155,154,37.14,56.66,5.24,14.81,7027,Y,,,,,,,Y,,,,,,Y,Y,,,Y,,,,,Y,,,,,,,Y,,,,,Y,Y,,,Y,,,,,N,5,,,,,,N,,,,,,,Y,,,,,,,,,Y,,,,Government,,,11.7,,,Y,11.7,0.5,Y,
225000,06/17/2015,25,,164788,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,7,,,,,N,N,,Y,,,,,Y,,,,Y,,,,,Y,,,,Government,,,100,,,Y,100,0.5,Y,
256000,05/16/2014,5.29,,165004,197,418,16,157,16.98,36.03,1.38,20.57,3486,,Y,,,,,,Y,,,,,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,,,,Y,,,,,N,6,,,Y,Y,Y,Y,,Y,,,,,,,,,Y,,,,,,,,,Government,,,5.29,,,Y,5.29,0.5,Y,
290372,03/01/2013,6.5,,165161,198,842,57,24,9.63,40.93,2.77,3.35,2956,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,8,,,,,N,N,,Y,,,,,,,,,Y,,,,,,,,,,,1.5,,,5,Y,6.5,0.5,Y,
240000,08/30/2013,2.25,,165381,1453,2835,215,241,26.13,50.98,3.87,7.1,7779,Y,,Y,,,,,Y,,,,,,Y,Y,,,Y,Y,,,Y,Y,,Y,,,,,Y,,,,,Y,Y,,,Y,Y,,,Y,N,5,,,Y,,Y,Y,,,,Y,,,Y,,,,,,,,,Y,,,,Government,2.25,,,,,Y,2.25,0.5,Y,
5858,05/15/2012,1.2,,165521,1,2,1,1,5,10,5,10.81,127,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,Y,,,,Y,N,10,,,,,N,N,,,,,,,Y,,,,,,,,,Y,,,,Government,,9.5,,,1.2,Y,15.54,0.5,Y,
245561,10/29/2015,3.04,,166103,607,1850,192,149,18.38,56.01,5.81,9.2,7122,,Y,,,,,,Y,,,,,,,,Y,,,,,,,,Y,,,,,,Y,Y,,,,Y,,Y,,Y,,,,,,8,,,,,N,N,,Y,,,Y,,Y,,,,Y,,,Y,,,,,,Government,3.04,,,,,Y,3.04,0.5,Y,
9849,02/25/2013,0.15,,166322,131,248,11,17,18.22,34.49,1.53,5.91,4565,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,8,,,,,N,N,,Y,,,,,,,,,Y,,,,,,,,,Private,0.15,,,,,Y,0.15,0.5,Y,
7120,09/25/2013,1,,166822,135,219,49,13,42.72,69.3,15.51,9.39,5144,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,1,,,,,N,N,,Y,,,,,,,,,Y,,,,,,,,,Government,1,,,,,Y,1,0.5,Y,
264435,08/30/2013,0.75,,167545,1022,1913,269,296,27.72,51.89,7.3,19.03,5024,,,,,,,,,,,,,,,Y,,,Y,,,,Y,,,,,,,,,,,,,,Y,,,Y,,,,Y,N,5,,,Y,Y,N,Y,,,,Y,,,Y,,,,,,Y,,,Y,,,,Government,0.75,,,,,Y,0.75,0.5,N,
29018,12/19/2014,149,,167962,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,1,,,,,,N,,,,,,,Y,,,,,,,,,Y,,,,Private,,149,,,,,149,0.5,Y,Y
444881,10/31/2013,0.13,,168024,2733,5496,1200,1152,22.36,44.97,9.82,17.99,11156,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,Y,,5,,Y,,,Y,Y,,,,Y,,,Y,,,,,,Y,,,Y,,,,Government,0.13,,,,,Y,0.13,0.5,Y,
37260,04/04/2014,0.1,,168722,454,1343,47,103,12.73,37.66,1.32,5.63,5200,,,,,,,,,,,,Y,TCE,,,,,Y,,,,,Y,Y,Y,Y,,,,Y,Y,,,Y,Y,Y,Y,,Y,,Y,,Y,Y,5,,,,,,N,,Y,,Y,Y,,Y,,,,,,,,,Y,,,,Private,,,0.43,,,Y,0.43,0.5,Y,Y
100000,10/27/2015,7.39,,168842,2066,4075,302,173,30.46,60.08,4.45,5.98,4949,Y,,,Y,,,,Y,,Y,,,,Y,Y,,,Y,,,,Y,Y,,,Y,,,,Y,,Y,,,Y,Y,,,,,,,Y,Y,1,,,,,N,N,,,,Y,,,Y,,,,,,,,,Y,,,,Government,,,7.39,,,Y,7.39,0.5,Y,Y
44600,01/06/2014,0.25,,169044,139,389,79,28,6.95,19.46,3.95,3.31,10636,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,N,5,,,,,,U,,Y,,,,,Y,,,,,,,,,,,,,Private,,0.25,,,,N,0.25,0.5,N,
232289,01/25/2013,0.75,,169141,32,63,1,13,24.81,48.84,0.78,19.94,477,Y,Y,,,,,,Y,,,,,,Y,,,,Y,,,,Y,Y,Y,,,,,,Y,,,,,Y,,,,Y,,,,Y,N,5,,,,,N,N,,Y,,,,,Y,,,,Y,,,,,Y,,,,Private,1,44,,,2,Y,47,0.5,Y,
515200,01/05/2018,2.8,,169865,166,617,49,161,10.09,37.48,2.98,19.59,5165,Y,Y,,,,,,Y,,,,Y,PCE,Y,Y,Y,,Y,,,,Y,Y,,,,,,,Y,,,,Y,Y,Y,Y,,Y,,,,Y,Y,1,,,Y,,Y,Y,,Y,,Y,Y,Y,Y,,,,Y,,,Y,Y,Y,,,,Private,2.8,,,,,,2.8,0.5,Y,N
92500,09/30/2015,0.1,,170001,98,156,27,19,38.89,61.9,10.71,18.3,2998,,Y,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,N,8,,,,,N,N,,Y,,,,,Y,,,,Y,,,,,Y,,,,Government,,,,,0.1,Y,0.1,0.5,Y,
302859,06/26/2015,4,,170130,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,,,,Y,,,,,N,6,,,Y,,Y,Y,,Y,,,,,Y,,,,Y,,,,,Y,,,,Government,,,,,,Y,4,0.5,Y,
139316,04/28/2014,2,,170133,139,362,8,174,12.76,33.24,0.73,30.36,9235,,Y,,,,,,Y,,,,,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,,,,Y,,,,,N,6,,,Y,,Y,Y,,Y,,,,,Y,,,,Y,,,,,Y,,,,Government,,,2,,,Y,2,0.5,Y,
50000,01/09/2013,14,,170136,44,75,5,5,46.32,78.95,5.26,12.54,986,,Y,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,N,6,,,Y,,Y,Y,,Y,,,,,,,,,Y,,,,,,,,,Government,,,,,,Y,14,0.5,Y,
8350,12/27/2013,0.1,,170204,105,327,19,66,10.89,33.92,1.97,13.55,8317,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,8,,,,,N,N,,Y,,,,,,,,,Y,,,,,,,,,Government,0.1,,,,,N,0.1,0.5,Y,
191000,05/01/2012,1,,170321,372,839,136,105,14.16,31.93,5.18,8.82,8385,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,5,,Y,,,Y,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,,1,0.5,Y,
148797,11/01/2013,0.53,,170381,1571,3105,623,725,20.57,40.66,8.16,12.4,4457,Y,,,Y,,,,Y,,,,,,Y,,,,,,,,,Y,,,Y,,,,Y,,,,,Y,,,,,,,,,N,9,,,,,,U,,,,,,,Y,,,,,,,,,Y,,,,,0.27,,0.26,,,Y,0.53,0.5,N,
64054,03/26/2018,8.7,,170801,549,811,99,64,43.75,64.62,7.89,11.67,6180,,Y,,,,,,,,,,,,,Y,,,Y,,,,Y,,Y,,,,,,,,,,,,Y,,,Y,,,,Y,N,3,,,,,,N,,Y,,Y,,,Y,,,,Y,,Y,,,Y,,,,Government,8.7,,,,,Y,8.7,0.5,Y,
240000,04/24/2017,1.5,,171004,201,655,89,53,10.42,33.96,4.61,6.09,4801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,Y,,,Y,,,,Y,N,5,,,,Y,N,Y,,,,Y,,,Y,,,,,,,,,,,,,Government,,,1.5,,,Y,1.5,0.5,N,
240000,09/15/2017,0.1,,171322,201,655,89,53,10.42,33.96,4.61,6.09,4801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,5,,,,Y,N,Y,,,,Y,,,,,,,,,,,,,,,,Government,,,0.1,,,Y,0.1,0.5,N,
240000,09/15/2017,0.07,,171328,198,595,88,45,13.05,39.22,5.8,6.25,6998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,,,,Y,N,5,,,,Y,N,Y,,,,Y,,,Y,,,,,,,,,,,,,Government,,,0.07,,,Y,0.07,0.5,N,
153471,01/21/2013,0.1,,171721,64,93,14,5,57.14,83.04,12.5,15.3,226,,Y,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,N,8,,,,,,N,Y,,,,,,Y,,,Y,,,,,,Y,,,,Government,0.1,,,,,Y,0.1,0.5,Y,
19048,01/05/2012,1,,172106,159,398,25,62,25.04,62.68,3.94,21.12,5159,,Y,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,N,8,,,,,,N,Y,Y,,,Y,,Y,,,Y,Y,,,Y,,Y,,,,Government,,,,,1,N,1,0.5,Y,
200000,10/01/2015,2,,172362,28,107,0,15,8.95,34.19,0,9.75,3938,,Y,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,N,4,,,,,N,N,,Y,,,,,,,,,Y,,,,,,,,,Government,2,,,,,Y,2,0.5,Y,
6000,03/11/2014,0.1,,172523,15,49,5,16,8.93,29.17,2.98,15.88,1287,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,8,,,,,N,N,,Y,,,,,,,,,Y,,,,,,,,,Government,0.1,,,,,Y,0.1,0.5,Y,
187605,05/12/2016,0.99,,173182,469,1024,79,145,25.7,56.11,4.33,18.27,2325,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,6,,,,,,N,,Y,,,,,,,,,Y,,,,,,,,,Government,,,,,,Y,0.99,0.5,Y,
135000,11/05/2015,3.12,,173681,495,983,243,126,27.08,53.77,13.29,13.6,1652,Y,,Y,,,,,Y,,,,Y,PVOCs,Y,Y,,,Y,,,,,Y,,Y,,,,,Y,,,,Y,Y,Y,,,Y,,,,,Y,5,,,Y,,Y,Y,,,,Y,,,Y,,,,,,Y,,,Y,,,,Private,3.12,,,,,Y,3.12,0.5,Y,
38340,06/02/2015,0.25,,174145,75,213,15,46,17.9,50.84,3.58,22.71,2023,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,9,,,,,,N,,Y,,,,,,,,,Y,,,,,,,,,Private,,,,,,Y,1,0.5,Y,
3395,07/21/2016,0.25,,174405,669,1571,159,91,21.66,50.86,5.15,6.19,5616,,Y,,,,,,Y,,,,Y,Mold,,,,,,,,,,,Y,,,,,,Y,,,,Y,,,,,,,,,,Y,7,,,,,N,N,,Y,,,Y,,,,,,Y,,,Y,,,,,,Private,,,,,0.25,Y,0.25,0.5,Y,Y
7500,10/16/2009,0.25,,174467,1279,1920,335,194,28.97,43.49,7.59,9.57,9601,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,N,8,,,,,N,N,,Y,,,,,,,,,Y,,,,,,,,,Private,,,,,0.25,N,0.25,0.5,Y,
91594,06/30/2013,0.09,,174845,116,265,39,38,27.95,63.86,9.4,29.62,860,Y,,,Y,Y,,,,,Y,,,,Y,,,,Y,Y,,,,Y,,,Y,Y,,,,,Y,,,Y,,,,Y,Y,,,,N,10,,,Y,,Y,Y,,,,,,,Y,,,,,,,,,Y,,,,Government,1,,,,,Y,1,0.5,Y,
200000,08/25/2016,0.56,,175021,2282,4849,467,615,28.21,59.95,5.77,16.87,4331,,,,,,,,Y,,,,,,,Y,,,Y,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,Y,1,,,Y,,Y,Y,,,,,,,Y,,,,,,,,,Y,,,,Private,,,,,0.56,Y,0.56,0.5,Y,Y
240000,02/17/2019,0.37,,175342,2595,3880,447,615,36.54,54.64,6.29,21.91,4042,Y,,,,Y,,,Y,,,,,,Y,Y,,,,,,,Y,Y,,,,Y,,,Y,,,,,Y,Y,,,,,,,Y,N,2,,,Y,,Y,Y,,,,,,,Y,,,,,,,,,Y,,,,Government,,,0.37,,,Y,0.37,0.5,Y,
12064,04/15/2015,1,,176061,124,324,45,54,16.27,42.52,5.91,15.54,2885,,Y,,,,,,N,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,N,8,,,,,N,N,Y,Y,,,,,,,,Y,Y,,,,,,,,,Government,,,,,1,Y,1,0.5,Y,
11955,07/07/2014,2.5,,176283,168,407,25,19,13.16,31.87,1.96,3.8,4042,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,8,,,,,N,N,,Y,,,,,,,,,Y,,,,,,,,,Private,,,,,,Y,2.5,0.5,N,
24739,02/14/2011,0.17,,176289,656,1241,140,265,30.68,58.04,6.55,21.68,4225,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,8,,,,,N,N,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,N,0.17,0.5,Y,
240000,11/30/2013,2.13,,176518,366,746,72,262,29.44,60.02,5.79,30.36,1676,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,N,4,,,,,N,N,,,,Y,,,Y,,,,,,Y,,,Y,,,,Government,2.13,,,,,Y,2.13,0.5,Y,
1717238,07/14/2014,4.9,,176573,382,777,150,88,21.4,43.53,8.4,10.07,2399,,Y,,,,,,Y,,,,,,,Y,,,Y,,,,Y,Y,Y,,,,,,Y,,,,,Y,Y,,,Y,,,,Y,N,5,,,Y,Y,Y,Y,,Y,,Y,,,Y,,,,Y,,Y,,,Y,,,,Government,,,4.93,,,,4.93,0.5,Y,
20688,08/25/2014,0.16,,176825,34,259,13,45,2.44,18.61,0.93,7.42,7814,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,N,8,,,,,N,N,,Y,,Y,,,Y,,,,Y,,,,,,,,,Government,0.27,,,,,Y,0.27,0.5,Y,
14395,09/30/2013,3.8,,177123,1,2,2,1,3.85,7.69,7.69,8.31,165,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,10,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,Y,Government,,,,,3.8,Y,3.8,0.5,Y,
804344,10/31/2016,17.98,,178162,259,366,46,40,28.28,39.96,5.02,10.37,7197,,,,,,,,,,,,Y,Culm Waste,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,N,3,Y,Y,Y,,N,Y,,,,Y,,,Y,,,,,,Y,,,Y,,,,,,,17.98,,,Y,17.98,0.5,N,
9400,03/14/2014,2,,179382,11,51,3,6,9.09,42.15,2.48,12.01,1161,,,,,,Y,,Y,,,,,,,,,Y,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,N,6,,,,,N,N,,,,,,,,,,,,,,,,Y,,,,Government,,2,,,,Y,2,0.5,N,
110364,11/23/2016,1,,180221,117,284,7,80,23.54,57.14,1.41,25.8,1567,,Y,,,,,,Y,,,,Y,"mold, lead paint and",,,,,,,,,,,Y,,,,,,Y,,,,Y,,,,,,,,,,N,9,,,,,,N,,Y,,,,,,,,,Y,,,,,,,,,Government,1,,,,,Y,1,0.5,Y,
51581,01/27/2015,0.43,,180661,742,1251,138,90,35.52,59.89,6.61,12.06,4023,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,9,,,,,,N,,Y,,,,,,,,,Y,,,,,,,,,Government,,,,,,N,0.43,0.5,N,
155043,09/15/2014,1,,180821,50,140,4,76,10.68,29.91,0.85,30.26,9177,,Y,,,,,,Y,Y,,,,,Y,,,,,,,,,,Y,,,,,,Y,Y,,,,Y,,,,,,,,,Y,10,,,,,N,N,,Y,,,,,,,,,Y,,,,,,,,,Government,,,,,1,Y,1,0.5,Y,N
5000,07/20/2011,7,,181181,15,45,7,6,18.29,54.88,8.54,18.41,186,,Y,,,,,,,,,,Y,Mold,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,N,10,,,,,N,N,,Y,,,Y,,,,,,Y,,,Y,,,,,,Government,1,6,,,,Y,7,0.5,Y,
285759,06/10/2016,0.08,,181241,1833,5071,803,245,11.07,30.64,4.85,3.32,11935,Y,,,,,,,Y,,,,,,Y,,Y,,,,,,Y,Y,,,,,,,Y,,,,,Y,,Y,,,,,,Y,N,1,,Y,,,N,Y,,,,Y,,,Y,,,,,,,,,Y,,,,Government,,,0.08,,,Y,0.08,0.5,N,
240000,04/05/2017,13.7,,182281,9,22,2,0,2.97,7.26,0.66,0,3739,,Y,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,N,1,,,,,N,N,,Y,,,,,,,,,Y,,,,,,,,,Government,,,13.7,,,Y,13.7,0.5,Y,
200000,09/30/2015,1,,182321,365,1095,129,212,10.32,30.97,3.65,11.98,5992,,Y,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,N,3,,,,,,U,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,Y,1,0.5,N,
240000,04/05/2017,7.1,,182401,9,22,2,0,2.97,7.26,0.66,0,3739,,Y,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,N,1,,,,,N,N,,Y,,,,,,,,,Y,,,,,,,,,Government,,,7.1,,,Y,7.1,0.5,Y,
50000,05/05/2011,7,,182662,15,45,7,6,18.29,54.88,8.54,18.41,186,,Y,,,,,,Y,,,,Y,mold,,,,,,,,,,,Y,,,,,,Y,,,,Y,,,,,,,,,,N,10,,,,,,N,,Y,,,Y,,,,,,Y,,,Y,,,,,,Government,7,,,,,Y,7,0.5,Y,
6050,05/13/2014,1,,183361,134,217,49,13,42.81,69.33,15.65,9.46,5105,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,1,,,,,N,N,,Y,,,,,,,,,Y,,,,,,,,,Government,,,,,1,N,1,0.5,Y,
487145,10/20/2016,1.07,,184141,3597,5765,889,632,32.84,52.64,8.12,12.02,7436,,Y,,,,,,Y,,,,,,,Y,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,,,Y,,,,,N,1,,,,,N,N,,Y,,,,,Y,,,,Y,,,,,Y,,,,Private,1.07,,,,,Y,1.07,0.5,Y,
150000,04/01/2016,0.17,,184541,446,638,117,195,19.3,27.61,5.06,14.95,6589,,Y,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,Y,6,,,,,N,N,,Y,,,,,,,,,Y,,,,,,,,,Private,,,,,0.17,,0.17,0.5,Y,N
117137,03/15/2013,0.46,,186621,987,1733,171,363,17.7,31.09,3.07,10.06,8532,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,N,5,,,Y,,Y,Y,,,,Y,,,Y,,,,,,Y,,,Y,,,,Government,,,0.46,,,Y,0.46,0.5,Y,
6671,05/27/2011,0.04,,187901,2362,4293,641,809,29.03,52.76,7.88,25.44,12509,,,,,,,,Y,,,,,,Y,Y,,,,,,,,,,,,,,,Y,,,,,Y,Y,,,,,,,,Y,2,,,,,,U,,,,,,,Y,,,,,,,,,Y,,,,Private,,,,,,,0.04,0.5,N,N
22222,09/07/2018,0.75,,189046,3,4,0,1,42.86,57.14,0,30.89,65,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,8,,,,,N,N,,Y,,,,,,,,,Y,,,,,,,,,Government,,,,,2,Y,2,0.5,Y,
9000,10/17/2016,1,,189121,3,4,0,1,42.86,57.14,0,30.89,65,,Y,,,,,,Y,,,,Y,mold,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,8,,,,,N,N,,Y,,,,,,,,,Y,,,,,,,,,Government,,,,,2,Y,2,0.5,Y,
9000,10/17/2016,0.5,,189301,1,1,0,0,50,50,0,0,16,,Y,,,,,,Y,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,N,8,,,,,N,N,,Y,,,,,,,,,Y,,,,,,,,,Government,,,,,2,Y,2,0.5,Y,
200000,12/29/2017,0.23,,189961,1053,2652,400,306,19.51,49.13,7.41,11.78,6351,,Y,,,,,,,,,,,,,Y,,,Y,,,,,,Y,,,,,,,,,,,,Y,,,Y,,,,,N,1,,,Y,,Y,Y,,,,Y,,,Y,,,,,,Y,,,Y,,,,Government,,,0.23,,,Y,0.23,0.5,Y,
10725,03/31/2015,0.52,,190921,345,840,21,122,12.36,30.1,0.75,8.58,7356,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,N,8,,,,,N,N,,Y,,,,,,,,,Y,,,,,,,,,Government,0.52,,,,,Y,0.52,0.5,Y,
21000,11/05/2015,0.62,,192281,672,1121,112,310,37.11,61.9,6.18,30.92,3556,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,Y,Y,,,Y,Y,4,,,,,N,N,,Y,,Y,,,Y,,,,Y,,,,,,,,,Government,0.62,,,,,Y,0.62,0.5,Y,Y
2050,11/09/2015,0.2,,192861,23,150,15,46,4.57,29.82,2.98,19.27,4399,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,7,,,,,N,N,,Y,,,,,,,,,Y,,,,,,,,,Government,0.2,,,,,Y,0.2,0.5,Y,
63311,12/18/2015,0.9,,194061,387,896,114,224,19.42,44.96,5.72,22.05,3138,,Y,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,N,9,,,,,N,U,,Y,,,,,,,,,Y,,,,,,,,,Government,0.9,,,,,Y,0.9,0.5,N,
6771,05/27/2011,0.03,,195641,2408,4396,663,835,29.05,53.03,8,25.65,11983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2,,,,,N,N,,,,,,,,,,,,,,,,,,,,Private,,,,,,,0.03,0.5,Y,N
200000,03/27/2017,0.25,,196562,1657,3221,465,359,18.2,35.39,5.11,13.29,4434,,,,,,,,,,,,,,,Y,,,Y,Y,,,Y,,,,,,,,,,,,,,Y,,,Y,Y,,,Y,N,2,,Y,,,Y,Y,,,,Y,,,Y,,,,,,Y,,,Y,,,,Government,0.25,,,,,N,0.25,0.5,Y,
11500000,12/05/2016,2.69,,197241,596,955,106,268,26.36,42.24,4.69,16.86,8296,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,N,5,,,,,N,N,,Y,,,,,,,,,Y,,,,,,,,,Private,,,,,,Y,2.69,0.5,Y,
