tag,frequencies
refuse,54
register,54
telephone,53
newspaper,53
shore,53
transit,53
jewelry,53
lane,53
carpet,53
fruit,53
horse,53
salon,52
contract,52
copper,52
pasture,52
thrift,52
hay,52
beach,52
case,52
transmission,52
reservation,52
cutting,51
recovery,51
interest,51
contact,51
transport,51
